username,has_archive,archive_cutoff,tweet_count_in_fresh,min_date,max_date,days_covered,rate_per_day,days_since_cutoff,estimated_total,statuses_count_alltime,followers_count,display_name,error,api_error
v01dpr1mr0s3,True,2026-01-01,285,2026-01-01,2026-02-26,55,5.18,59,306,,,,,
ValsTutor,True,2025-12-09,729,2025-12-09,2026-02-27,80,9.11,83,756,,,,,
vamsi0x,True,2024-08-26,0,,,,,,,,,,empty_file,
vincent_yc_li,True,2024-09-09,377,2024-10-06,2026-02-27,535,0.7,538,379,,,,,
visakanv,True,2024-09-27,148,2024-11-27,2026-02-27,517,0.29,520,149,,,,,
VivaLaPanda,True,2025-07-16,627,2025-10-03,2026-02-27,226,2.77,229,635,,,,,
vividvoid,True,2024-10-17,1914,2025-10-31,2026-02-27,498,3.84,501,1926,,,,,
voooooogel,True,2026-01-01,441,2026-01-02,2026-02-26,56,7.88,60,472,,,,,
wayfaring_tim,True,2024-08-30,894,2025-11-09,2026-02-27,546,1.64,549,899,,,,,
workflowsauce,True,2024-12-08,1123,2025-09-06,2026-02-27,445,2.52,448,1131,,,,,
worlddestroyar,True,2026-01-02,34,2026-01-24,2026-02-05,33,1.03,58,60,,,,,
WystanTBS,True,2025-07-07,1086,2025-07-08,2026-02-27,234,4.64,237,1100,,,,,
xsphi,True,2024-09-14,802,2025-09-09,2026-02-27,531,1.51,534,807,,,,,
XyraSinclair,True,2025-11-30,203,2025-12-07,2026-02-27,88,2.31,91,210,,,,,
yeetyakaya,True,2025-11-26,852,2025-12-23,2026-02-27,92,9.26,96,889,,,,,
yoltartar,True,2024-10-05,766,2024-12-06,2026-02-25,508,1.51,513,774,,,,,
zencephalon,True,2025-02-17,1908,2025-02-18,2026-02-24,372,5.13,378,1939,,,,,
zrkrlc,True,2024-09-07,863,2025-11-09,2026-02-27,537,1.61,540,868,,,,,
1thousandfaces_,False,none,,,,,,,,25594,,Hero Thousandfaces,,
_lyraaaa_,False,none,,,,,,,,7205,,lyra bubbles,,
_munarawa,False,none,,,,,,,,68,,The Kindling Maiden,,
_nwyin,False,none,,,,,,,,2226,,nwyin,,
_stevenfan,False,none,,,,,,,,56962,,integrated daddy,,
abstrakcija,False,none,,,,,,,,5900,,vika,,
astrange_e,False,none,,,,,,,,59171,,MVB,,
baguvixon,False,none,,,,,,,,1963,,schmitt,,
bardobabby,False,none,,,,,,,,3255,,Di /daɪ/,,
bbll481898,False,none,,,,,,,,,,Bb Ll,,
blockbyblockby,False,none,,,,,,,,705,,K.H 💹🧲,,
circecreates,False,none,,,,,,,,3427,,Circé,,
dacaveofwonders,False,none,,,,,,,,9702,,Tiger Lava Lamp,,
dhadfieldmenell,False,none,,,,,,,,9282,,Dylan HadfieldMenell,,
dismaien,False,none,,,,,,,,3463,,Leona,,
djmicrobeads,False,none,,,,,,,,6653,,dj microbeads,,
ember_arlynx,False,none,,,,,,,,9292,,cmr://ember,,
evanhub,False,none,,,,,,,,680,,Evan Hubinger,,
felacalana,False,none,,,,,,,,321,,Fela,,
fiorastarlight,False,none,,,,,,,,5306,,Fiora Starlight,,
fleekfuturist,False,none,,,,,,,,98274,,Fleek Futurist — 🧑🏼‍🚀/uto,,
gabrielepizzi,False,none,,,,,,,,1048,,gabriele,,
gilded_signal,False,none,,,,,,,,1736,,CORE,,
gospelofchange,False,none,,,,,,,,14423,,"Papa Pita wasJeremy (🍄,🃏)",,
harry_taussig,False,none,,,,,,,,3564,,Harry Taussig 🐘,,
hormeze,False,none,,,,,,,,33582,,Hormeze 𐤄𐤅𐤓𐤌𐤉𐤆,,
hyperseref,False,none,,,,,,,,356,,Seref,,
idiosyncretic,False,none,,,,,,,,2286,,idiosyncretic,,
impish_bunny,False,none,,,,,,,,13588,,ylareia,,
itsawuwuw,False,none,,,,,,,,1490,,𝑑𝑢𝑙𝑙𝑠𝑐𝑦𝑡ℎ𝑒,,
jwt0625,False,none,,,,,,,,19883,,outside five sigma,,
kaefairy_,False,none,,,,,,,,3132,,Kae 🏳️‍⚧️🇺🇸,,
keysmasher727,False,none,,,,,,,,3137,,uwuwwuwuwuw NSFW,,
klingefjord,False,none,,,,,,,,2315,,Oliver Klingefjord,,
kore_wa_kore,False,none,,,,,,,,801,,Kore,,
kstellana,False,none,,,,,,,,1643,,Albert Castellana 卡瑟 - e/acc,,
lmcorrigan1,False,none,,,,,,,,505,,Liam Corrigan,,
lucia_quirke,False,none,,,,,,,,66,,Lucia Quirke,,
mackagallagher,False,none,,,,,,,,3977,,Lorec,,
mala,False,none,,,,,,,,13445,,Danny O'Brien🤖,,
marinwaves,False,none,,,,,,,,10832,,Marin Petrov,,
markestefanos,False,none,,,,,,,,987,,Mark Estefanos,,
meekaale,False,none,,,,,,,,55033,,Mikael Brockman,,
melissajenna,False,none,,,,,,,,23151,,🫧 Vibephrodite 🫧,,
memetic_mystic,False,none,,,,,,,,114,,brxs.,,
miclemihai,False,none,,,,,,,,14786,,Micle Mihai,,
moonl88537,False,none,,,,,,,,15196,,Moon,,
naslouki,False,none,,,,,,,,7297,,Nassim (mediterranean training arc),,
nonagonono,False,none,,,,,,,,3885,,Zygi,,
nousaturn,False,none,,,,,,,,5926,,𒅒,,
olysourbut,False,none,,,,,,,,412,,Oliver Sourbut,,
oogway_defi,False,none,,,,,,,,1451,,oogway,,
pandurevich,False,none,,,,,,,,12506,,Srđan,,
rabrg,False,none,,,,,,,,219,,Ryan Greene,,
rajatrc17,False,none,,,,,,,,405,,Rajat,,
reneesolana,False,none,,,,,,,,8677,,Renee Solana,,
reslashacc,False,none,,,,,,,,3390,,samu (re/acc),,
rifewithkaiju,False,none,,,,,,,,4117,,Rife,,
satchlj,False,none,,,,,,,,214,,Satya Benson,,
serensandikci,False,none,,,,,,,,127,,seren,,
shadow_rebbe,False,none,,,,,,,,11777,,Benjamin,,
shhhhjesse,False,none,,,,,,,,5397,,Jesse Genao,,
simon_ohler,False,none,,,,,,,,12680,,Simon 🌳 : ),,
spatermensch,False,none,,,,,,,,5416,,spätermensch,,
teleoflexuous,False,none,,,,,,,,4091,,Your Fridge Therapist,,
thomasdelvasto_,False,none,,,,,,,,51148,,Θωμᾶς del Vasto,,
tommyrobmum,False,none,,,,,,,,4356,,The $CLAWED project,,
trickylabyrinth,False,none,,,,,,,,10900,,Tricky,,
tunapostasy,False,none,,,,,,,,298,,atria,,
vitreoussolid,False,none,,,,,,,,3953,,Eric the glassmaker,,
wereness,False,none,,,,,,,,9246,,Jack 🏴‍☠️ 🌖,,
williamduncan,False,none,,,,,,,,1171,,Will Duncan,,
wngb192497,False,none,,,,,,,,,,王八,,
wordrotator,False,none,,,,,,,,4483,,the monkey king,,
yeshuagod22,False,none,,,,,,,,15452,,Yeshua God,,
